StopName,latitude,longitude,Route[0],Route[1],Route[2],NoOfpassenger
Lakshmi Vadhana St,12.9835706,80.2549054,3,,,20
Dr. Vasi Estate,12.9792424,80.250602,3,,,21
Perungudi,12.9862535,80.2457295,3,,,22
Bharathi Nagar,12.9790342,80.2356167,3,,,23
Taramani Link Rd,12.980211,80.2282796,3,,,24
Sarathy Nagar,12.9757155,80.2230688,3,,,25
Velachery Main Rd,12.9647555,80.216564,3,,,26
Pallikaranai Marshland,12.9755397,80.2206438,3,,,27
 Ma Po Si Nagar,12.9447862,80.2140053,3,,,28
 Velachery Main Rd,12.9514111,80.211078,3,,,29
Velachery - Tambaram High Road,12.9341029,80.2039741,3,,,30
Pallikaranai Marshland,12.9348912,80.2137124,3,,,31
" Velachery - Tambaram Main Rd, Green Court",12.9232703,80.1605342,3,,,32
Jalladianpet,12.9178174,80.1965728,3,,,33
"Perumbakkam Main Rd, Green Court",12.9075441,80.2027355,3,,,34
Medavakkam,12.9200089,80.1919901,3,,,35
